"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 15:41:56 GMT 2022","Sun Jul 03 15:41:56 GMT 2022","458","","TestArtists","","TestArtists","addArtistsRepeatedly","[1] iKON, YG",""
"passed","Sun Jul 03 15:43:12 GMT 2022","Sun Jul 03 15:43:13 GMT 2022","357","","TestEntertainments","","TestEntertainments","verifyThatAllEntertainmentsAreDisplayed","verifyThatAllEntertainmentsAreDisplayed()",""
"broken","Sun Jul 03 15:42:01 GMT 2022","Sun Jul 03 15:42:34 GMT 2022","32835","","TestLogin","","TestLogin","displayFailedLoginMessage","displayFailedLoginMessage()",""
"passed","Sun Jul 03 15:42:00 GMT 2022","Sun Jul 03 15:42:00 GMT 2022","362","","TestMyTranslation","","TestMyTranslation","deleteMyTranslation","deleteMyTranslation()",""
"passed","Sun Jul 03 15:42:00 GMT 2022","Sun Jul 03 15:42:01 GMT 2022","361","","TestMusics","","TestMusics","modifyMusicDetails","modifyMusicDetails()",""
"passed","Sun Jul 03 15:42:34 GMT 2022","Sun Jul 03 15:42:36 GMT 2022","2535","","TestLogin","","TestLogin","correctFailedLoginMessage","correctFailedLoginMessage()",""
"passed","Sun Jul 03 15:41:57 GMT 2022","Sun Jul 03 15:41:58 GMT 2022","381","","TestArtists","","TestArtists","addArtistsRepeatedly","[5] Treasure, YG",""
"passed","Sun Jul 03 15:41:57 GMT 2022","Sun Jul 03 15:41:57 GMT 2022","396","","TestArtists","","TestArtists","addArtistsRepeatedly","[4] Pentagon, Cube",""
"passed","Sun Jul 03 15:41:59 GMT 2022","Sun Jul 03 15:42:00 GMT 2022","369","","TestArtists","","TestArtists","addArtistsRepeatedly","[10] ONEUS, RBW Entertainment",""
"passed","Sun Jul 03 15:41:58 GMT 2022","Sun Jul 03 15:41:58 GMT 2022","397","","TestArtists","","TestArtists","addArtistsRepeatedly","[7] GOT7, JYP",""
"passed","Sun Jul 03 15:41:58 GMT 2022","Sun Jul 03 15:41:58 GMT 2022","364","","TestArtists","","TestArtists","addArtistsRepeatedly","[6] (G)I-dle, Cube",""
"passed","Sun Jul 03 15:41:58 GMT 2022","Sun Jul 03 15:41:59 GMT 2022","362","","TestArtists","","TestArtists","addArtistsRepeatedly","[8] CLC, Cube",""
"passed","Sun Jul 03 15:41:54 GMT 2022","Sun Jul 03 15:41:55 GMT 2022","1163","","TestLogout","","TestLogout","successfulLogout","successfulLogout()",""
"passed","Sun Jul 03 15:42:00 GMT 2022","Sun Jul 03 15:42:00 GMT 2022","364","","TestMusics","","TestMusics","addNewMusic","addNewMusic()",""
"broken","Sun Jul 03 15:42:36 GMT 2022","Sun Jul 03 15:43:09 GMT 2022","32603","","TestRegistration","","TestRegistration","successfulRegistration","Sikeres regisztráció","Sikeres regisztráció, mivel mindegyik beviteli mező valid adatot tartalmaz (DT-1 alapján)"
"passed","Sun Jul 03 15:41:56 GMT 2022","Sun Jul 03 15:41:57 GMT 2022","393","","TestArtists","","TestArtists","addArtistsRepeatedly","[3] Winner, YG",""
"passed","Sun Jul 03 15:42:01 GMT 2022","Sun Jul 03 15:42:01 GMT 2022","395","","TestAlbums","","TestAlbums","checkingPaginationNextButton","checkingPaginationNextButton()",""
"passed","Sun Jul 03 15:41:56 GMT 2022","Sun Jul 03 15:41:56 GMT 2022","393","","TestArtists","","TestArtists","addArtistsRepeatedly","[2] BTOB, Cube",""
"passed","Sun Jul 03 15:43:09 GMT 2022","Sun Jul 03 15:43:12 GMT 2022","2975","","TestRegistration","","TestRegistration","unsuccessfulRegistration","Sikertelen regisztráció","Már regisztrált felhasználónévvel és email címmel történő regisztráció a DT-12 alapján"
"passed","Sun Jul 03 15:43:12 GMT 2022","Sun Jul 03 15:43:12 GMT 2022","378","","TestHome","","TestHome","collectDataFromHomepage","collectDataFromHomepage()",""
"passed","Sun Jul 03 15:41:59 GMT 2022","Sun Jul 03 15:41:59 GMT 2022","382","","TestArtists","","TestArtists","addArtistsRepeatedly","[9] DAY6, JYP",""
